study_id,model,condition,attempt,error
Bernard Stoecklin,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Bernard Stoecklin,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Bi,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Bi,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Burke,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Burke,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Chen,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Chen,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Choi H,gemini-3-flash-preview,A,1,Schema validation failed: output is missing required key(s): overall_rob
Choi H,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Choi JY,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Choi JY,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Cowling,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Cowling,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Davalgi,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Davalgi,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Dinh,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Dinh,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Lam,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Lam,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Nachega,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Nachega,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Ng,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Ng,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Wilasang,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Wilasang,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Wong,gemini-3-flash-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Wong,gemini-3-flash-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Bernard Stoecklin,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Bernard Stoecklin,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Bi,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Bi,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Burke,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Burke,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Chen,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Chen,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Choi H,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Choi H,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Choi JY,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Choi JY,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Cowling,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Cowling,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Davalgi,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Davalgi,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Dinh,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Dinh,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Lam,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Lam,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Nachega,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Nachega,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Ng,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Ng,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Wilasang,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Wilasang,gemini-3.1-pro-preview,A,2,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
Wong,gemini-3.1-pro-preview,A,1,"Schema validation failed: output is missing required key(s): study_id, overall_rob"
